DEVICE_ID|DEVICE_HOSTNAME|DEVICE_IP_STRING|DEVICE_SOURCE_ID|DEVICE_SOURCE_OS_NAME|ORG_L1_ID|ORG_ID|ORG_SOURCE_ID|SOURCE_DEV_ID|SOURCE_DEV_CUST_DEVICE_NAME|SOURCE_DEV_MACHINE_HOST_NAME|SOURCE_DEV_MACHINE_PLATFORM|SOURCE_DEV_CUST_ID|SOURCE_DEV_STATUS|SOURCE_DEV_SERVICE_NAME|SOURCE_DEV_MANUFACTURER|SOURCE_DEV_SOFTWARE_VERSION|SOURCE_DEV_SENSOR_TYPE|SOURCE_DEV_PRIMARY_FUNCTION|SOURCE_DEV_PRIMARY_APPLICATION|SOURCE_DEV_IDS_CONFIG_TYPE|SOURCE_DEV_NETWORK_SEG_TYPE|SOURCE_DEV_INLINE_APPLIANCE_MODE|SOURCE_DEV_STACKED_FLAG|SOURCE_DEV_MANAGED_BY|SOURCE_DEV_MONITORED_BY|SOURCE_DEV_CLUSTER_FW_NAME|SOURCE_DEV_IDS_CONFIG_TYPE2|SOURCE_DEV_FW_TYPE_AND_VER|SOURCE_DEV_DEFAULT_GATEWAY|SOURCE_DEV_IP_EXT_STRING|SOURCE_DEV_OS_NAME|SOURCE_DEV_NLR_THRESHOLD|SOURCE_DEV_POLL_PERIOD|SOURCE_DEV_SITE_NAME|SOURCE_DEV_SITE_ID|SOURCE_DEV_DATA_RETENTION_PERIOD|SOURCE_DEV_INDEX_RETENTION_PERIOD|SOURCE_DEV_TIMEZONE|SOURCE_CUST_ID|SOURCE_CUST_NAME|SOURCE_CUST_PARTNER_ID|SOURCE_CUST_PARTNER_NAME|SOURCE_CUST_CATEGORY|SOURCE_CUST_INDUSTRY|SOURCE_CUST_REGULATED|SOURCE_CUST_MIDS|SOURCE_CUST_NUM_IDS|SOURCE_CUST_MPS|SOURCE_CUST_MFS|SOURCE_CUST_NUM_FW|SOURCE_CUST_SELM|SOURCE_CUST_VMS|SOURCE_CUST_NUM_EXT_IP|SOURCE_CUST_NUM_INT_IP|SOURCE_CUST_NUM_SCANNERS|SOURCE_CUST_LMS|SOURCE_CUST_EAM|SOURCE_CUST_NUM_DEVICES|SOURCE_CUST_THIRD_PARTY|SOURCE_CUST_SERVICE_NAME|SOURCE_CUST_SIA|SOURCE_CUST_SIA_NAME|SOURCE_CUST_PCI_DSS|SOURCE_CUST_HIPAA|SOURCE_CUST_GLBA|SOURCE_CUST_MRR|SOURCE_CUST_STATUS|INDUSTRY_ID|IND_SECTION_CD|IND_SECTION_NAME|IND_SECTION_SHORT_NAME|IND_DIVISION_CD|IND_DIVISION_NAME|IND_DIVISION_SHORT_NAME|CONS_DB_IP_STRING|CONS_DB_HOSTNAME|FW_DB_IP_STRING|FW_DB_HOSTNAME|LMS_AGG_IP_STRING|LMS_AGG_HOSTNAME
|cjpnrt1-redhat-rtr-4.nrt.redhat.com|10.255.0.75|P00000008025151|other|8578|8578|CIDD706791|P00000008025151|cjpnrt1-redhat-rtr-4.nrt.redhat.com|cjpnrt1-redhat-rtr-4.nrt.redhat.com|Other|CIDD706791|deployment_complete|selm - server - standard|||||||||||||||||||||||||CIDD706791|Red Hat Inc|CID001826|Direct|managed_service|73: business services|yes|unk||yes|unk||yes|unk||||yes||||||||||5201.14|active|13|n|administrative and support service activities|admin and support svcs|82|office administrative, office support and other business support activities|administrative services||||||
|...??tbd>>>|136.9.200.90|D00000008011947|windows 2000 server|8578|8578|CID0002567|D00000008011947|...??tbd>>>|...??tbd>>>|Generic Intel|CID0002567|inactive|mps server select|||||||||||||||||||||||||CID0002567|Ford Motor Company|CID001826|Direct|managed_service|manufacturing|yes|yes||unk|unk||unk|unk||||unk|||||||||||inactive|46|c|manufacturing|manufacturing|32|other manufacturing|other manufacturing||||||
|...tbd...>>>|136.9.200.97|D00000008011949|windows 2000 server|8578|8578|CID0002567|D00000008011949|...tbd...>>>|...tbd...>>>|Generic Intel|CID0002567|inactive|mps server select|||||||||||||||||||||||||CID0002567|Ford Motor Company|CID001826|Direct|managed_service|manufacturing|yes|yes||unk|unk||unk|unk||||unk|||||||||||inactive|46|c|manufacturing|manufacturing|32|other manufacturing|other manufacturing||||||
|0000-0000|10.227.72.71|SA0000000743749|windows 2003|8578|8578|CIDD706804|SA0000000743749|0000-0000|0000-0000|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|0000-pos4|10.226.190.64|SA0000000742053|windows xp pro|8578|8578|CIDD706804|SA0000000742053|0000-pos4|0000-pos4|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|0006-0000|10.224.0.70|SA0000000734508|windows 2000 server|8578|8578|CIDD706804|SA0000000734508|0006-0000|0006-0000|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|0006-pos1|10.224.0.61|SA0000000734509|windows 2000 server|8578|8578|CIDD706804|SA0000000734509|0006-pos1|0006-pos1|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|0006-pos2|10.224.0.62|SA0000000734680|windows 2000 server|8578|8578|CIDD706804|SA0000000734680|0006-pos2|0006-pos2|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|0012-0000|10.224.2.70|SA0000000732069|windows 2000 server|8578|8578|CIDD706804|SA0000000732069|0012-0000|0012-0000|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|0012-pos1|10.224.2.61|SA0000000732190|windows 2000 server|8578|8578|CIDD706804|SA0000000732190|0012-pos1|0012-pos1|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|0012-pos2|10.224.2.62|SA0000000743533|windows 2000 server|8578|8578|CIDD706804|SA0000000743533|0012-pos2|0012-pos2|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|0015-0016|10.226.187.70|SA0000000742963|windows 2003|8578|8578|CIDD706804|SA0000000742963|0015-0016|0015-0016|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|0015-5678|10.227.117.70|P00000008030425|windows 2003|8578|8578|CIDD706804|P00000008030425|0015-5678|0015-5678|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|0015-pos1|10.227.72.61|P00000008021517|windows 2003|8578|8578|CIDD706804|P00000008021517|0015-pos1a|0015-pos1|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|0015-pos1|10.227.117.61|P00000008035835|windows xp pro|8578|8578|CIDD706804|P00000008035835|0015-pos1|0015-pos1|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
