Alabama ,0,0,427,431.7,8.2,34.3,141.4,247.8,4025,3892.1,953.8,2650,288.3
Alaska ,0,-0.0999999999999,632.3,631.9,4.8,81.1,80.9,465.1,3382.8,3612.5,622.5,2599.1,391
Arizona ,0.1,0,504.4,513.2,7.5,33.8,144.4,327.4,5340.5,4838,948.4,2965.2,924.4
Arkansas,0,0,502.3,527.5,6.7,42.9,91.1,386.8,4013,4057.9,1084.6,2711.2,262.1
California ,0,0,527.8,526.3,6.9,26,176.1,317.3,3419,3322.6,693.3,1916.5,712.8
Colorado ,0.1,0,372,396.5,3.7,43.4,84.6,264.7,3919.3,4039.5,744.8,2735.2,559.5
Connecticut ,0,0,289,274.5,2.9,20,113,138.6,2627.2,2558,437.1,1824.1,296.8
Delaware ,0,0,615,632.1,4.4,44.7,154.8,428.2,3163.9,3111.4,688.9,2144,278.5
,,0,,,,,,,,,,,
"District of Columbia \3",0,0.0999999999995,1369.4,1459,35.4,30.2,672.1,721.3,4859.1,4747,649.7,2694.9,1402.3
Florida ,-0.1,0,711.8,708,5,37.1,169.4,496.6,4179.7,4007.9,926.3,2658.3,423.3
Georgia ,0,0,451,448.9,6.2,23.6,154.8,264.3,4265.9,4172.3,931,2751.1,490.2
Hawaii ,0,-0.0999999999995,254.6,255.1,1.9,26.9,78.5,147.8,4792.8,4792.6,767.9,3308.4,716.4
Idaho ,0,0,247.4,256.8,2.4,40.4,18.6,195.4,2794.4,2697.9,564.4,1931.7,201.8
"Illinois \4 ",-0.0999999999999,0,545.7,551.5,6,33.7,181.7,330.2,3186.1,3080.3,606.9,2164.8,308.6
Indiana ,-0.1,0,325.9,323.7,5.7,29.6,108.6,179.9,3397.6,3456.3,697.6,2412,346.7
Iowa ,-0.1,0,287.8,291.3,1.3,27.9,38.9,223.3,2905.3,2833.7,606.4,2042.7,184.6
Kansas  ,0,0.0999999999999,377.9,387.4,3.7,38.4,65.3,280,3973.5,3787,689.2,2758.1,339.6
Kentucky  ,0,-0.1,245.1,266.8,4.6,34,88.4,139.8,2537.7,2530.5,634,1685.8,210.8
Louisiana ,0,-0.0999999999999,640,594.4,9.9,31.4,118,435.1,4410.2,3683.1,870.6,2494.5,318.1
Maine ,0,0,103.7,112.2,1.4,24.7,24.4,61.7,2409.6,2413.1,478.5,1832.6,102
Maryland ,0,0,700.6,703,9.9,22.6,256.7,413.8,3640.2,3544.1,641.4,2294.3,608.4
Massachusetts,0,0,460.2,456.9,2.7,27.1,119,308.1,2459.7,2363.6,541.1,1527.4,295.1
Michigan,0,0,492.2,552.1,6.1,51.3,131.8,362.9,3057.6,3091.1,696.8,1917.8,476.5
Minnesota ,0.1,0.0999999999999,269.8,297,2.2,44,92,158.7,3039,3084.1,578.9,2226.9,278.2
Mississippi ,0.1,0,295.4,278.4,7.3,39.3,82.3,149.4,3478.5,3260.1,919.7,2083.9,256.5
Missouri ,0,-0.0999999999999,490.1,525.4,6.9,28,124.1,366.4,3903.5,3927.5,738.3,2746.2,443.1
Montana  ,0,0,293.8,281.5,1.9,32.2,18.9,228.5,2936.2,3142.9,389.2,2543,210.7
Nebraska ,0,0,308.6,287,2.5,32.9,59.1,192.5,3520.6,3423.2,532.4,2574.3,316.5
Nevada ,0,0,616.4,606.8,8.5,42.1,194.7,361.5,4206.6,4241.5,972.4,2153.9,1115.2
New Hampshire ,0,0,169.5,132,1.4,30.9,27.4,72.3,2040.1,1796.4,317,1377.3,102.1
New Jersey,0,0,356.3,354.7,4.8,13.9,151.6,184.4,2429.2,2333,447.1,1568.4,317.5
New Mexico ,0.1,0,687.4,702.2,7.4,54.1,98.7,541.9,4197.7,4148.3,1093.9,2639.9,414.5
New York,0,0,440.4,445.8,4.5,18.9,182.7,239.7,2198.6,2108.5,353.3,1569.6,185.6
North Carolina ,0,0,447.8,468.1,6.7,26.5,145.5,289.4,4160.2,4075.1,1201.1,2546.2,327.8
North Dakota ,0,0,87.7,98.2,1.1,24.2,7.4,65.5,1916.6,1978.2,311.9,1500.3,166
Ohio ,-0.1,0,338.7,351.3,5.1,39.8,163.1,143.4,3673.2,3662.7,872.8,2429,360.9
Oklahoma ,0.1,0,500.5,508.6,5.3,41.7,91,370.5,4242.1,4042,1006,2644.2,391.8
Oregon ,-0.1,0,298.6,286.8,2.2,34.8,68.1,181.8,4631.3,4399.8,758.6,3112.2,529
Pennsylvania,-0.1,0,411.5,424.5,6.1,28.9,154.6,235,2415,2417.2,451.6,1729.1,236.5
Rhode Island ,0,0,247.5,251.2,3.2,29.8,72.1,146.1,2884.1,2718.9,494.2,1816,408.7
South Carolina ,0.1,0,789.9,761.1,7.4,42.5,132.1,579,4504.8,4339.4,1000.9,2954.1,384.4
South Dakota ,0,-0.0999999999999,171.2,175.7,2.3,46.7,18.6,108.1,1933.5,1776.4,324.4,1343.7,108.4
Tennessee ,0,-0.1,697.6,752.8,7.2,36.4,167.3,541.9,4306.5,4275.5,1026.9,2828.1,420.6
Texas ,-0.0999999999999,0,540.9,529.7,6.2,37.2,156.6,329.8,4494,4332,961.6,2961.7,408.7
Utah,-0.1,0,233.3,227.2,2.3,37.3,44.3,143.4,4085.6,3868.9,606.2,2918.8,343.9
Vermont ,-0.1,-0.1,114.8,119.7,1.3,23.3,11.7,83.5,2308.2,2280.7,491.8,1686.1,102.9
Virginia ,0,0,275.5,282.8,6.1,22.7,99.2,154.8,2676.6,2638.2,392.1,2035,211.1
Washington ,-0.1,-0.0999999999995,343.6,345.8,3.3,44.7,92.1,205.8,4849.2,4893,959.7,3149.5,783.9
West Virginia ,0,0,281.9,272.8,4.4,17.7,44.6,206.1,2506.2,2625.2,621.2,1794,210
Wisconsin ,0,0,209.8,241.5,3.5,20.6,82.2,135.2,2663.1,2660.2,440.8,1992.8,226.6
Wyoming ,0,0,229.9,230.1,2.7,24,15.3,188.1,3334.3,3155.3,476.3,2533.9,145.1
